,close,open,high,low,volume
2023-02-28,6937.4,6899.0,6954.0,6847.6,35963.0
2023-02-27,6879.2,6903.2,6922.6,6830.8,34001.0
2023-02-24,6928.6,6947.0,6966.4,6872.6,31201.0
2023-02-23,6944.8,6968.0,6987.2,6883.8,34847.0
2023-02-22,6968.0,6916.0,6989.8,6910.8,32043.0
2023-02-21,6935.2,6925.4,6988.4,6890.0,37792.0
2023-02-20,6922.0,6871.0,6928.8,6796.0,45771.0
2023-02-17,6849.8,6928.0,6940.6,6842.0,47096.0
2023-02-16,6909.2,7039.8,7077.8,6864.2,49836.0
2023-02-15,7030.4,7040.0,7054.6,7011.0,20953.0
2023-02-14,7037.8,7035.0,7049.4,7003.2,14480.0
2023-02-13,7022.4,6939.0,7037.4,6939.0,17048.0
2023-02-10,6969.2,7003.4,7018.8,6902.0,25482.0
2023-02-09,7018.6,6848.8,7019.8,6828.0,23375.0
2023-02-08,6850.0,6907.2,6909.2,6835.4,14151.0
2023-02-07,6899.2,6900.2,6905.6,6831.8,14832.0
2023-02-06,6889.2,6873.8,6917.6,6835.0,16581.0
2023-02-03,6911.6,6922.2,6932.4,6824.0,18621.0
2023-02-02,6930.0,6940.0,6982.6,6911.2,14914.0
2023-02-01,6924.0,6838.8,6924.0,6826.0,15943.0
2023-01-31,6828.8,6792.2,6850.8,6780.0,10320.0
2023-01-30,6792.8,6881.2,6888.0,6791.0,27391.0
2023-01-20,6777.6,6736.2,6777.6,6717.4,23193.0
2023-01-19,6687.4,6607.8,6692.8,6587.4,16681.0
2023-01-18,6621.2,6620.8,6653.8,6611.4,18132.0
2023-01-17,6608.2,6606.0,6646.6,6592.6,19735.0
2023-01-16,6597.4,6540.0,6658.8,6539.8,31794.0
2023-01-13,6542.4,6509.8,6551.8,6481.2,24189.0
2023-01-12,6492.0,6500.0,6541.6,6473.8,24588.0
2023-01-11,6494.4,6539.0,6562.4,6481.0,22001.0
2023-01-10,6532.2,6527.0,6546.6,6490.2,17855.0
2023-01-09,6518.2,6518.2,6571.0,6513.0,21905.0
2023-01-06,6505.2,6487.2,6543.6,6478.2,23789.0
2023-01-05,6490.4,6433.8,6494.0,6408.2,24379.0
2023-01-04,6414.4,6420.0,6439.0,6375.0,22569.0
2023-01-03,6420.0,6280.0,6442.8,6276.0,29613.0
